#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery3
#Serial Number: SN:210415BDFD41
#Date Time: 2026-05-05 17:55:31.914
#Start: 1 Hz
#Stop: 10000 Hz
#Steps: 201
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.1634 V
#Offset: -7.01237e-05 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB)
1,-0.02470665013041367
1.0471285480509,-0.02260538233660156
1.096478196143185,-0.02467555957681758
1.148153621496883,-0.02331622271105563
1.202264434617413,-0.02503021774837019
1.258925411794168,-0.02490638152198978
1.318256738556407,-0.02489543057662861
1.380384264602885,-0.02464133010689432
1.445439770745928,-0.02305115859969668
1.513561248436209,-0.02453134470485247
1.584893192461114,-0.02426049770726385
1.659586907437562,-0.02556439348557123
1.737800828749376,-0.0242828624207697
1.819700858609983,-0.02387395229705173
1.905460717963248,-0.02304842242161483
1.995262314968879,-0.02522400549332586
2.089296130854039,-0.02559428177029925
2.187761623949552,-0.0247680019714047
2.290867652767772,-0.02438943497944154
2.39883291901949,-0.02554357704308095
2.51188643150958,-0.02428890902180727
2.630267991895381,-0.02430436354841371
2.754228703338166,-0.02612209863304042
2.884031503126606,-0.02421005215442112
3.019951720402016,-0.02310091548110877
3.16227766016838,-0.02379089702418829
3.311311214825911,-0.02499477955663628
3.467368504525317,-0.02415064741741149
3.630780547701014,-0.02472519526468101
3.801893963205612,-0.02457823965124956
3.981071705534974,-0.025029455087788
4.168693834703355,-0.02510055432780054
4.365158322401661,-0.02559816382910599
4.570881896148752,-0.0233349013078772
4.786300923226386,-0.02151596514197085
5.011872336272726,-0.02378281370990852
5.248074602497723,-0.02355345088532797
5.495408738576248,-0.02345064535226738
5.754399373371567,-0.02462844529972068
6.025595860743581,-0.02421545065011223
6.30957344480193,-0.02410023451152164
6.606934480075958,-0.02491699515780408
6.918309709189362,-0.02404063890366906
7.244359600749898,-0.02327789469187405
7.585775750291836,-0.02508364814727113
7.943282347242813,-0.02331399699707749
8.317637711026709,-0.02387917621292801
8.709635899560805,-0.02458039209575215
9.120108393559097,-0.02547905677468481
9.549925860214358,-0.02447320509075347
10,-0.0250399552896996
10.471285480509,-0.02416238552633443
10.96478196143185,-0.02619584546484161
11.48153621496883,-0.02634773731459961
12.02264434617413,-0.02530113559409278
12.58925411794167,-0.02501150512366153
13.18256738556408,-0.02617089599753748
13.80384264602884,-0.02585266458013848
14.45439770745928,-0.02555313229186507
15.13561248436207,-0.02620064523974565
15.84893192461114,-0.02631756777071663
16.5958690743756,-0.02465500624355226
17.37800828749376,-0.02529592257040934
18.19700858609983,-0.0234278565820892
19.05460717963248,-0.02470537863621218
19.95262314968879,-0.02427084940987426
20.89296130854041,-0.02499963565472615
21.87761623949552,-0.02668207407146389
22.90867652767774,-0.02646155014582821
23.9883291901949,-0.02458145892937648
25.1188643150958,-0.02510828252406716
26.30267991895381,-0.02515468865434803
27.54228703338166,-0.02537101591530593
28.84031503126606,-0.02525580542744343
30.19951720402016,-0.02483294500862212
31.62277660168379,-0.02405654411540801
33.11311214825911,-0.02690734746964151
34.67368504525317,-0.0265366674038808
36.30780547701014,-0.02621631428124724
38.01893963205612,-0.02657829254848173
39.81071705534973,-0.02616233206758162
41.68693834703355,-0.03008415601839115
43.65158322401657,-0.03556623788764201
45.70881896148752,-0.0598462924856371
47.8630092322638,-0.06462655156358255
50.11872336272724,0.02281839500313694
52.48074602497723,-0.07732743296111799
54.95408738576248,-0.03964992370701702
57.54399373371567,-0.04282406699498819
60.25595860743581,-0.03921399120536523
63.0957344480193,-0.02813753490369513
66.06934480075964,-0.02810712128669257
69.18309709189363,-0.02978300791835902
72.44359600749907,-0.02921142271139793
75.85775750291836,-0.03111290988354537
79.43282347242814,-0.03021729098209564
83.17637711026708,-0.02999916281157755
87.09635899560804,-0.03336855073110475
91.20108393559097,-0.03906582852158245
95.49925860214358,-0.0270868550587219
100,-0.0415698532310332
104.71285480509,-0.02915150402793246
109.6478196143185,-0.04298667504266022
