#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery3
#Serial Number: SN:210415BDFD41
#Date Time: 2026-05-05 18:07:18.616
#Start: 1 Hz
#Stop: 10000 Hz
#Steps: 201
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.1634 V
#Offset: -7.01237e-05 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB)
1,-0.02456533695632198
1.0471285480509,-0.02575276469390192
1.096478196143185,-0.02555994259351245
1.148153621496883,-0.02606947709516592
1.202264434617413,-0.0253169549347034
1.258925411794168,-0.02392588212378592
1.318256738556407,-0.02567754270759277
1.380384264602885,-0.02517634199200917
1.445439770745928,-0.02491222272814414
1.513561248436209,-0.02549893923106426
1.584893192461114,-0.02538492561615703
1.659586907437562,-0.02532409771572198
1.737800828749376,-0.02473066291459711
1.819700858609983,-0.02451182501940121
1.905460717963248,-0.02457602246406147
1.995262314968879,-0.02427864228572452
2.089296130854039,-0.02634320045245539
2.187761623949552,-0.0241858955343435
2.290867652767772,-0.02461762665827842
2.39883291901949,-0.02486286971309048
2.51188643150958,-0.02384184929991515
2.630267991895381,-0.02603514305737791
2.754228703338166,-0.02571628621303581
2.884031503126606,-0.02654097491182491
3.019951720402016,-0.02460430094501127
3.16227766016838,-0.02832474135026433
3.311311214825911,-0.02633756539971355
3.467368504525317,-0.02507317569960591
3.630780547701014,-0.02536843316372013
3.801893963205612,-0.02434340285091991
3.981071705534974,-0.02604918429192105
4.168693834703355,-0.02689209237910231
4.365158322401661,-0.02808445947528443
4.570881896148752,-0.02577595023707458
4.786300923226386,-0.0268278566022411
5.011872336272726,-0.02770609849527195
5.248074602497723,-0.02686588691115003
5.495408738576248,-0.02741251744217292
5.754399373371567,-0.02555507098402323
6.025595860743581,-0.02662281604492703
6.30957344480193,-0.02677029038448333
6.606934480075958,-0.02483902428262477
6.918309709189362,-0.02485772367547884
7.244359600749898,-0.02534547524513751
7.585775750291836,-0.02903367244782599
7.943282347242813,-0.02418147854626666
8.317637711026709,-0.02597145470615918
8.709635899560805,-0.02632219697601728
9.120108393559097,-0.02679529452128413
9.549925860214358,-0.02645540772776042
10,-0.02401835151624241
10.471285480509,-0.02718207614536746
10.96478196143185,-0.02510725299068113
11.48153621496883,-0.02700229322010435
12.02264434617413,-0.0242782649168343
12.58925411794167,-0.02525833961946552
13.18256738556408,-0.02554380536718783
13.80384264602884,-0.02641564956180244
14.45439770745928,-0.02713747677750547
15.13561248436207,-0.02555427756568263
15.84893192461114,-0.02607090598737561
16.5958690743756,-0.02574059680511122
17.37800828749376,-0.02600205376827569
18.19700858609983,-0.0275532246217367
19.05460717963248,-0.02699349716107165
19.95262314968879,-0.02553937473101891
20.89296130854041,-0.02667853688653203
21.87761623949552,-0.02575002510365568
22.90867652767774,-0.02707794295222456
23.9883291901949,-0.02763269583931705
25.1188643150958,-0.02579581501000021
26.30267991895381,-0.02750977603107753
27.54228703338166,-0.02686793184071972
28.84031503126606,-0.02760904400302707
30.19951720402016,-0.027863348393651
31.62277660168379,-0.02575934740214778
33.11311214825911,-0.02585675725703262
34.67368504525317,-0.02614068704949778
36.30780547701014,-0.02860332119212511
38.01893963205612,-0.02738301814979353
39.81071705534973,-0.02718863903736066
41.68693834703355,-0.03116219592920575
43.65158322401657,-0.0350803830668276
45.70881896148752,-0.0152402073524927
47.8630092322638,0.0196390704044805
50.11872336272724,-0.07227432747946129
52.48074602497723,0.0204907091260794
54.95408738576248,-0.02413537300947786
57.54399373371567,-0.01575207663901918
60.25595860743581,-0.01545425501170733
63.0957344480193,-0.03170455525325028
66.06934480075964,-0.03163521674504343
69.18309709189363,-0.0305327999559727
72.44359600749907,-0.03079335565174501
75.85775750291836,-0.03326680702752715
79.43282347242814,-0.03232528523508996
83.17637711026708,-0.03245177930288885
87.09635899560804,-0.03816260210106381
91.20108393559097,-0.02647623450624099
95.49925860214358,-0.03443382177181526
100,-0.03981533359720037
104.71285480509,-0.04052067726749345
109.6478196143185,-0.02842951829297476
114.8153621496883,-0.03504891866469124
120.2264434617413,-0.03776622568839013
125.8925411794168,-0.04147639450440762
131.8256738556408,-0.04491896772108238
138.0384264602885,-0.044768428856706
144.5439770745928,-0.04348110622672702
151.3561248436209,-0.05250540460694768
158.4893192461114,-0.05371432403991812
165.9586907437561,-0.05527999836520595
173.7800828749376,-0.05669304721505436
181.9700858609983,-0.06567593302074774
190.5460717963246,-0.06652030319526336
199.5262314968879,-0.06873104760482096
208.9296130854038,-0.0719691411547813
218.7761623949552,-0.07481486346352353
229.0867652767772,-0.0808513616734053
239.883291901949,-0.08552396222232203
251.1886431509579,-0.09267763188665226
263.0267991895382,-0.09933123614451081
275.4228703338166,-0.107570779952409
288.4031503126606,-0.114580096275963
301.9951720402016,-0.1224105545909761
316.2277660168379,-0.1328147363111445
331.1311214825911,-0.1455473066433934
346.7368504525317,-0.156974300197682
363.0780547701014,-0.165371018384453
380.1893963205612,-0.1855339753241743
398.1071705534973,-0.1943205279035232
416.8693834703355,-0.2153850761922902
436.5158322401661,-0.2280538189683544
457.0881896148752,-0.2539168839414956
478.6300923226385,-0.2740494646215492
501.1872336272725,-0.3001237441875639
524.8074602497728,-0.3294484648988539
549.5408738576249,-0.3527179250968419
575.4399373371566,-0.3856887499940081
602.5595860743574,-0.4181795238618037
630.957344480193,-0.4552662356200871
660.6934480075957,-0.4977252522909129
691.8309709189363,-0.5348652342849189
724.4359600749899,-0.5793939586421049
758.5775750291835,-0.6415387530460203
794.3282347242814,-0.6947188955005655
831.7637711026708,-0.7511953796157734
870.9635899560806,-0.8244759180702101
912.0108393559096,-0.9023152164406918
954.9925860214358,-0.975658290498883
1000,-1.06156242691753
1047.1285480509,-1.166900118256482
1096.478196143185,-1.25706040479873
1148.153621496883,-1.368573224622849
1202.264434617413,-1.492870847315898
1258.925411794168,-1.631452673128398
1318.256738556407,-1.760461671834159
1380.384264602885,-1.915993219000871
1445.439770745928,-2.086213624222392
1513.561248436209,-2.250955296682833
1584.893192461114,-2.434651205188126
1659.586907437561,-2.634445988178967
1737.800828749376,-2.859497686670273
1819.700858609983,-3.088903080450604
1905.460717963246,-3.316522745392529
1995.262314968879,-3.578665093090371
2089.296130854038,-3.862657337180561
2187.761623949552,-4.16568124344089
2290.867652767773,-4.473482207744911
2398.83291901949,-4.7863898740378
2511.88643150958,-5.132142472696649
2630.267991895381,-5.518440199080129
2754.228703338166,-5.899303971738207
2884.031503126605,-6.297050349670203
3019.951720402016,-6.704439005778862
3162.277660168379,-7.147549455236502
3311.311214825911,-7.615982835432567
3467.368504525316,-8.111347066891037
3630.780547701014,-8.621203446737173
3801.893963205613,-9.146149089451258
3981.071705534973,-9.623878500360526
4168.693834703356,-10.1703117579128
4365.158322401661,-10.74862824014089
4570.881896148752,-11.36430159693846
4786.300923226386,-11.90245728370678
5011.872336272725,-12.50154007236526
5248.074602497729,-13.15673839855231
5495.408738576249,-13.79278307717733
5754.399373371566,-14.39809326298676
6025.595860743574,-15.04583775301451
6309.57344480193,-15.77976553298517
6606.934480075958,-16.38183327817498
6918.309709189363,-17.06983578987481
7244.359600749899,-17.80882419120566
7585.775750291836,-18.55882815578922
7943.282347242814,-19.16253494661352
8317.637711026709,-20.00463001533451
8709.635899560804,-20.67995077617369
9120.108393559096,-21.34112808367959
9549.925860214358,-22.14908636554413
10000,-22.97742610773746
